"","Estado.del.concurso","Fecha.hora.de.publicación","Cartel","Número.de.procedimiento","Número.de.SICOP","Institución","Nombre","Concurso.confidencial","Enc.Pub.Gest.Apertu","Elaborador","Enc.Solic.Est.Ofert","Registro.del.pliego.de.condiciones","Versiones.del.cartel","Versión.en.consulta","Descripción.del.procedimiento","Clasificación.del.objeto","Tipo.de.procedimiento","Tipo.de.modalidad","Tipo.de.recepción.de.ofertas","Lugar.de.apertura","Inicio.de.recepción.de.ofertas","Cierre.de.recepción.de.ofertas","Fecha.hora.de.apertura.de.ofertas","Plazo.del.acto.final","Presupuesto.total.estimado","Presupuesto.total.estimado.USD..Opcional.","Fundamento.jurídico","cant_cod"
"120","Contrato","14/09/2022 11:46","Real","2022LA-000019-0023570101","-","Municipalidad ","Limon","No","Kinberlin Arrieta Salas","Kinberlin Arrieta Salas","Kinberlin Arrieta Salas","Modificar","20220902056-01 20220902056-02","20220902056-00","Contratación de compra de uniformes para todos los funcionarios de la municipalidad del cantón central de limón","Bienes/servicios","Licitación abreviada","Cantidad definida","En línea","https://www.sicop.go.cr","15/09/2022 11:00","28/09/2022 00:00","28/09/2022 11:05","10 Días hábiles",45291402,"",NA,"701"
"121","Contrato","14/09/2022 13:52","Real","2022CD-000292-0002400001","-","Municipalidad ","Santa Ana","No","Marco Antonio Valverde Guillen","Marco Antonio Valverde Guillen","Marco Antonio Valverde Guillen","Registro","","20220902124-00","Contratación servicios para proyecto de producción de video y cápsulas informativas del que hacer municipal y para informe de rendición de cuentas 2021, de la municipalidad","Servicios","Contratación directa","Cantidad definida","En línea","https://www.sicop.go.cr","14/09/2022 14:00","20/09/2022 15:00","20/09/2022 15:05","6 Días hábiles",4700000,"","Contratación directa por escasa cuantía (art.2 inc. h) LCA y art. 144 RLCA)","109"
"122","Adjudicación en firme","15/09/2022 15:31","Real","2022CD-000130-0003900001","-","Municipalidad ","Nicoya","No","Maria Azucena Rodriguez Jimenez","Maria Azucena Rodriguez Jimenez","Maria Azucena Rodriguez Jimenez","Registro","","20220902377-00","Servicios profesionales para soporte profesional al departamento de control constructivo y obra pública de la municipalidad de nicoya","Servicios","Contratación directa","Servicios","En línea","https://www.sicop.go.cr","16/09/2022 16:30","20/09/2022 10:00","20/09/2022 10:01","10 Días hábiles",9e+06,"","Contratación directa por escasa cuantía (art.2 inc. h) LCA y art. 144 RLCA)","502"
"123","Contrato","16/09/2022 07:38","Real","2022CD-000143-0020800001","-","Municipalidad ","Escazu","No","Jenny Marcela Araya Leon","Jenny Marcela Araya Leon","Jenny Marcela Araya Leon","Registro","","20220902109-00","Servicios de asesoría para la evaluación de las cargas de trabajo asociadas a la gestión de los procesos de la municipalidad de escazú","Servicios","Contratación directa","Servicios","En línea","https://www.sicop.go.cr","16/09/2022 08:00","10/10/2022 09:59","10/10/2022 10:00","10 Días hábiles",1.3e+07,"","Contratación directa de actividad contractual desarrollada entre sujetos de derecho público (Artículo 2 inc. c) LCA y artículo 138 RLCA.","102"
"124","","16/09/2022 11:47","Real","2022LA-000008-0003400001","-","Municipalidad ","Montes de Oca","No","Ronny Ceciliano Valverde","Ronny Ceciliano Valverde","Ronny Ceciliano Valverde","Sin efecto","20220902513-01","20220902513-00","Proyecto de cáncer de mama, municipalidad montes de oca [sin efecto]","Servicios","Licitación abreviada","Cantidad definida","En línea","https://www.sicop.go.cr","16/09/2022 12:00","03/10/2022 10:00","03/10/2022 10:00","20 Días hábiles",43125000,"",NA,"115"
"125","Contrato","20/09/2022 08:19","Real","2022CD-000144-0020800001","-","Municipalidad ","Escazu","No","Ronald Morales Cerdas","Ronald Morales Cerdas","Ronald Morales Cerdas","Registro","","20220902469-00","Servicio de confección de formularios y sellos para la municipalidad de escazú","Bienes/servicios","Contratación directa","Según demanda","En línea","https://www.sicop.go.cr","20/09/2022 08:30","23/09/2022 07:30","23/09/2022 07:31","10 Días hábiles",1e+06,"","Contratación directa por escasa cuantía (art.2 inc. h) LCA y art. 144 RLCA)","102"
"126","Contrato","20/09/2022 09:11","Real","2022CD-000122-0003400001","-","Municipalidad ","Montes de Oca","No","Ronny Ceciliano Valverde","Ronny Ceciliano Valverde","Ronny Ceciliano Valverde","Modificar","20220902656-01","20220902656-00","Talleres de marimba y compra de marimba municipalidad de montes de oca","Bienes/servicios","Contratación directa","Cantidad definida","En línea","https://www.sicop.go.cr","20/09/2022 09:15","27/09/2022 10:00","27/09/2022 10:00","10 Días hábiles",3750000,"","Contratación directa por escasa cuantía (art.2 inc. h) LCA y art. 144 RLCA)","115"
"127","Contrato","20/09/2022 11:57","Real","2022CD-000134-0003900001","-","Municipalidad ","Nicoya","No","María Teresa Salas Murillo","María Teresa Salas Murillo","María Teresa Salas Murillo","Registro","","20220902733-00","Adquisición de moto guadaña profesional multifuncional, para uso del depto. de gestión ambiental de la municipalidad de nicoya","Bienes","Contratación directa","Cantidad definida","En línea","https://www.sicop.go.cr","20/09/2022 13:00","23/09/2022 14:00","23/09/2022 14:01","10 Días hábiles",750000,"","Contratación directa por escasa cuantía (art.2 inc. h) LCA y art. 144 RLCA)","502"
"128","Contrato","21/09/2022 11:47","Real","2022LA-000011-0011900001","-","Municipalidad ","Liberia","No","Juan Pablo Mora Ulloa","Juan Pablo Mora Ulloa","Juan Pablo Mora Ulloa","Modificar","20220902981-01","20220902981-00","Compra de ambulancia convenio cruz roja - municipalidad de liberia","Bienes","Licitación abreviada","Cantidad definida","En línea","https://www.sicop.go.cr","21/09/2022 11:50","28/09/2022 16:00","29/09/2022 07:00","10 Días hábiles",41737430240,"",NA,"501"
"129","Contrato","21/09/2022 15:28","Real","2022CD-000026-0025700001","-","Municipalidad ","Siquirres","No","Sandra Vargas Fernandez","Sandra Vargas Fernandez","Sandra Vargas Fernandez","Registro","","20220902796-00","Servicios integrales para las actividades protocolarias y sociales realizadas por la municipalidad de siquirres","Bienes/servicios","Contratación directa","Servicios","En línea","https://www.sicop.go.cr","21/09/2022 16:00","23/09/2022 11:00","23/09/2022 11:00","4 Días hábiles",3850000,"","Contratación directa por escasa cuantía (art.2 inc. h) LCA y art. 144 RLCA)","703"
"130","Contrato","21/09/2022 15:30","Real","2022CD-000065-0021500001","-","Municipalidad ","Upala","No","Carlos Alexander Noguera Castillo","Carlos Alexander Noguera Castillo","Carlos Alexander Noguera Castillo","Registro","","20220903077-00","Contratación de persona física o jur para la adquisición del servicio de alquiler de gps y control de combustible para la flotilla vehicular de la municipalidad de upala.","Bienes/servicios","Contratación directa","Cantidad definida","En línea","https://www.sicop.go.cr","22/09/2022 00:00","26/09/2022 10:00","26/09/2022 10:01","10 Días hábiles",3800002.03,"","Contratación directa por escasa cuantía (art.2 inc. h) LCA y art. 144 RLCA)","213"
"131","Contrato","21/09/2022 15:35","Real","2022CD-000216-0021700001","-","Municipalidad ","Heredia","No","Enio Vargas Arrieta","Enio Vargas Arrieta","Enio Vargas Arrieta","Modificar","20220903088-01","20220903088-00","Servicios profesionales evaluacion de riesgos geotecnicos rio bermudez y estudios y diseño de obra de estabilizacion en sitio los arcos para la municipalidad de heredia","Servicios","Contratación directa","Servicios","En línea","https://www.sicop.go.cr","23/09/2022 12:00","27/09/2022 10:00","27/09/2022 10:00","6 Días hábiles",1.7e+07,"","Contratación directa por escasa cuantía (art.2 inc. h) LCA y art. 144 RLCA)","401"
"132","Contrato","21/09/2022 16:33","Real","2022CD-000218-0021700001","-","Municipalidad ","Heredia","No","Ericka Arguello Sanchez","Ericka Arguello Sanchez","Ericka Arguello Sanchez","Registro","","20220903104-00","Contratacion de servicios en actividad cultural espectaculo de cuentos y leyendas para la municipalidad de heredia","Servicios","Contratación directa","Cantidad definida","En línea","https://www.sicop.go.cr","22/09/2022 07:00","26/09/2022 11:00","26/09/2022 11:00","6 Días hábiles",1450000,"","Contratación directa por ser oferente único (Artículo 2 inc. d LCA y artículo 139 inciso a RLCA).","401"
"133","Contrato","21/09/2022 16:51","Real","2022CD-000219-0021700001","-","Municipalidad ","Heredia","No","Ericka Arguello Sanchez","Ericka Arguello Sanchez","Ericka Arguello Sanchez","Registro","","20220903108-00","Contratacion de servicios de organización y produccion de evento de barrio en barrio para la municipalidad de heredia","Servicios","Contratación directa","Cantidad definida","En línea","https://www.sicop.go.cr","22/09/2022 07:00","26/09/2022 11:00","26/09/2022 11:00","6 Días hábiles",5920000,"","Contratación directa por ser oferente único (Artículo 2 inc. d LCA y artículo 139 inciso a RLCA).","401"
"134","Contrato","22/09/2022 11:20","Real","2022CD-000055-0021911601","-","Municipalidad ","Turrubares","No","Jesus Alberto Lopez Lopez","Jesus Alberto Lopez Lopez","Jesus Alberto Lopez Lopez","Registro","","20220902857-00","Compra de llantas para los vehiculos sm-5474 y sm-7763 de la unidad de gestión vial de la municipalidad de turrubares","Bienes","Contratación directa","Cantidad definida","En línea","https://www.sicop.go.cr","22/09/2022 13:00","27/09/2022 14:00","27/09/2022 14:01","10 Días hábiles",960000,"","Contratación directa por escasa cuantía (art.2 inc. h) LCA y art. 144 RLCA)","116"
"135","Adjudicación en firme","22/09/2022 11:34","Real","2022CD-000220-0021700001","-","Municipalidad ","Heredia","No","Enio Vargas Arrieta","Enio Vargas Arrieta","Enio Vargas Arrieta","Registro","","20220903260-00","Servicios profesionales para soporte de aplicacion app movil del sistema de tiempo para estacionamiento autorizado de la municipalidad de heredia","Bienes","Contratación directa","Servicios","En línea","https://www.sicop.go.cr","26/09/2022 12:00","27/09/2022 10:00","27/09/2022 10:00","6 Días hábiles",3e+06,"","Contratación directa por ser oferente único (Artículo 2 inc. d LCA y artículo 139 inciso a RLCA).","401"
"136","Contrato","22/09/2022 11:49","Real","2022CD-000221-0021700001","-","Municipalidad ","Heredia","No","Kimberlyn de los Angeles Villalobos Diaz","Kimberlyn de los Angeles Villalobos Diaz","Kimberlyn de los Angeles Villalobos Diaz","Modificar","20220903246-01","20220903246-00","Compra de articulos de resguardo y seguridad para la municipalidad de heredia","Bienes","Contratación directa","Cantidad definida","En línea","https://www.sicop.go.cr","27/09/2022 06:00","30/09/2022 10:00","30/09/2022 10:00","10 Días hábiles",5458500,"","Contratación directa por escasa cuantía (art.2 inc. h) LCA y art. 144 RLCA)","401"
"137","Contrato","22/09/2022 13:08","Real","2022CD-000222-0021700001","-","Municipalidad ","Heredia","No","Kimberlyn de los Angeles Villalobos Diaz","Kimberlyn de los Angeles Villalobos Diaz","Kimberlyn de los Angeles Villalobos Diaz","Registro","","20220903276-00","Compra de herramientas y articulos ferreteros para atencion de emergencias de la municipalidad de heredia","Bienes","Contratación directa","Cantidad definida","En línea","https://www.sicop.go.cr","27/09/2022 06:00","29/09/2022 09:00","29/09/2022 09:00","10 Días hábiles",4003190,"","Contratación directa por escasa cuantía (art.2 inc. h) LCA y art. 144 RLCA)","401"
"138","Contrato","23/09/2022 07:36","Real","2022CD-000266-0022030101","-","Municipalidad ","Cartago","No","Marco Antonio Monge Hidalgo","Marco Antonio Monge Hidalgo","Marco Antonio Monge Hidalgo","Registro","","20220903249-00","21350 - compra de tintas para los diferentes dispositivos de las dependencias de la municipalidad de cartago","Bienes","Contratación directa","Cantidad definida","En línea","https://www.sicop.go.cr","23/09/2022 08:00","29/09/2022 08:00","29/09/2022 08:05","10 Días hábiles",5832100,"","Contratación directa por escasa cuantía (art.2 inc. h) LCA y art. 144 RLCA)","301"
"139","Desierto/Infructuoso","23/09/2022 09:45","Real","2022CD-000267-0022030101","-","Municipalidad ","Cartago","No","Mauricio Aguilar Marin","Mauricio Aguilar Marin","Mauricio Aguilar Marin","Registro","","20220902695-00","21356 - la municipalidad de cartago está promoviendo la adquisición de contratos de mantenimiento de las ups, gabinetes donde se encuentran los equipo","Servicios","Contratación directa","Servicios","En línea","https://www.sicop.go.cr","23/09/2022 09:45","28/09/2022 13:00","28/09/2022 13:00","10 Días hábiles",2100000,"","Contratación directa por escasa cuantía (art.2 inc. h) LCA y art. 144 RLCA)","301"
"140","Contrato","23/09/2022 13:47","Real","2022CD-000156-0000700001","-","Municipalidad ","Grecia","No","Jacqueline Andrea Soto Vargas","Jacqueline Andrea Soto Vargas","Jacqueline Andrea Soto Vargas","Registro","","20220903558-00","La municipalidad de grecia requiere contratar una persona física o jurídica que suministre, sonido, alimentación, saloneros y decoración para grecia se viste de rosa","Servicios","Contratación directa","Cantidad definida","En línea","https://www.sicop.go.cr","23/09/2022 14:00","27/09/2022 08:00","27/09/2022 08:00","4 Días hábiles",1023750,"","Contratación directa por escasa cuantía (art.2 inc. h) LCA y art. 144 RLCA)","203"
"141","Contrato","26/09/2022 13:18","Real","2022LA-000010-0003600001","-","Municipalidad ","San Carlos","No","Nersy Arce Araya","Nersy Arce Araya","Nersy Arce Araya","Modificar","20220903632-01","20220903632-00","Compra de una solución para la gestión documental de la municipalidad san carlos, entrega según demanda","Servicios","Licitación abreviada","Según demanda","En línea","https://www.sicop.go.cr","26/09/2022 14:00","10/10/2022 10:00","10/10/2022 10:00","20 Días hábiles",2.116e+11,"",NA,"210"
"142","Contrato","26/09/2022 13:40","Real","2022CD-000242-0003600001","-","Municipalidad ","San Carlos","No","Nersy Arce Araya","Nersy Arce Araya","Nersy Arce Araya","Modificar","20220903637-01","20220903637-00","Compra de equipo de computo para diferentes departamentos de la municipalidad de san carlos","Bienes/servicios","Contratación directa","Cantidad definida","En línea","https://www.sicop.go.cr","26/09/2022 14:00","03/10/2022 16:00","03/10/2022 16:00","10 Días hábiles",21960000,"","Contratación directa por escasa cuantía (art.2 inc. h) LCA y art. 144 RLCA)","210"
"143","Contrato","27/09/2022 07:38","Real","2022CD-000061-0002800001","-","Municipalidad ","Tibas","No","Manuel Antonio Vega Alfaro","Manuel Antonio Vega Alfaro","Manuel Antonio Vega Alfaro","Registro","","20220903783-00","Contratación para la elaboración e implementación del plan de salud ocupacional de la municipalidad de tibás.","Servicios","Contratación directa","Cantidad definida","En línea","https://www.sicop.go.cr","27/09/2022 09:00","30/09/2022 10:00","30/09/2022 10:00","10 Días hábiles",2300000,"","Contratación directa por escasa cuantía (art.2 inc. h) LCA y art. 144 RLCA)","113"
"144","Contrato","27/09/2022 14:11","Real","2022LA-000023-0021700001","-","Municipalidad ","Heredia","No","Enio Vargas Arrieta","Enio Vargas Arrieta","Enio Vargas Arrieta","Modificar","20220903800-01 20220903800-02 20220903800-03","20220903800-00","Construccion de obra de estabilizacion en talud urb san jorge para la municipalidad de heredia","Bienes","Licitación abreviada","Servicios","En línea","https://www.sicop.go.cr","31/10/2022 07:00","02/11/2022 10:00","02/11/2022 10:00","20 Días hábiles",132600000,"",NA,"401"
"145","Contrato","27/09/2022 15:09","Real","2022LA-000003-0023700001","-","Municipalidad ","Quepos","No","Jonathan Mesén Jiménez","Jonathan Mesén Jiménez","Jonathan Mesén Jiménez","Modificar","20220904085-01 20220904085-02 20220904085-03 20220904085-04 20220904085-05","20220904085-00","Compra de tractor de oruga para la unidad de gestión vial de la municipalidad de quepos.","Bienes","Licitación abreviada","Cantidad definida","En línea","https://www.sicop.go.cr","27/09/2022 15:30","14/10/2022 10:00","14/10/2022 10:05","20 Días hábiles",1.2e+08,"",NA,"606"
"146","Contrato","28/09/2022 11:08","Real","2022CD-000153-0005500001","-","Municipalidad ","Atenas","No","Diana Margot Valerio Víquez","Diana Margot Valerio Víquez","Diana Margot Valerio Víquez","Registro","","20220904230-00","Compra de aceite para unidades de la municipalidad de atenas.","Bienes","Contratación directa","Cantidad definida","En línea","https://www.sicop.go.cr","28/09/2022 11:30","03/10/2022 11:30","03/10/2022 11:30","10 Días hábiles",1510000,"","Contratación directa por escasa cuantía (art.2 inc. h) LCA y art. 144 RLCA)","205"
"147","Contrato","28/09/2022 11:43","Real","2022CD-000057-0021911601","-","Municipalidad ","Turrubares","No","Jesus Alberto Lopez Lopez","Jesus Alberto Lopez Lopez","Jesus Alberto Lopez Lopez","Registro","","20220903325-00","Compra de productos quimicos, minerales, asfalticos y madera para la unidad tecnica de gestión vial de la municipalidad de turrubares","Bienes","Contratación directa","Cantidad definida","En línea","https://www.sicop.go.cr","28/09/2022 13:00","30/09/2022 13:30","30/09/2022 13:31","10 Días hábiles",2470000,"","Contratación directa por escasa cuantía (art.2 inc. h) LCA y art. 144 RLCA)","116"
"148","Contrato","28/09/2022 11:49","Real","2022CD-000058-0021911601","-","Municipalidad ","Turrubares","No","Jesus Alberto Lopez Lopez","Jesus Alberto Lopez Lopez","Jesus Alberto Lopez Lopez","Registro","","20220903349-00","Compra de utiles y materiales de resguardo para la unidad tecnica de gestión vial, municipalidad de turrubares","Bienes","Contratación directa","Cantidad definida","En línea","https://www.sicop.go.cr","28/09/2022 13:00","30/09/2022 14:00","30/09/2022 14:01","10 Días hábiles",80000,"","Contratación directa por escasa cuantía (art.2 inc. h) LCA y art. 144 RLCA)","116"
"149","Contrato","28/09/2022 11:55","Real","2022CD-000059-0021911601","-","Municipalidad ","Turrubares","No","Jesus Alberto Lopez Lopez","Jesus Alberto Lopez Lopez","Jesus Alberto Lopez Lopez","Registro","","20220903373-00","Compra de materiales metalicos para la unidad tecnica de gestión vial de la municipalidad de turrubares","Bienes","Contratación directa","Cantidad definida","En línea","https://www.sicop.go.cr","28/09/2022 13:00","30/09/2022 14:30","30/09/2022 14:31","10 Días hábiles",1080000,"","Contratación directa por escasa cuantía (art.2 inc. h) LCA y art. 144 RLCA)","116"
"150","Contrato","28/09/2022 13:28","Real","2022CD-000060-0021911601","-","Municipalidad ","Turrubares","No","Jesus Alberto Lopez Lopez","Jesus Alberto Lopez Lopez","Jesus Alberto Lopez Lopez","Registro","","20220903386-00","Compra de materiales y productos electricos para la unidad tecnica de gestión vial de la municipalidad de turrubares","Bienes","Contratación directa","Cantidad definida","En línea","https://www.sicop.go.cr","28/09/2022 14:00","03/10/2022 13:00","03/10/2022 13:01","10 Días hábiles",210000,"","Contratación directa por escasa cuantía (art.2 inc. h) LCA y art. 144 RLCA)","116"
"151","Contrato","28/09/2022 13:33","Real","2022CD-000061-0021911601","-","Municipalidad ","Turrubares","No","Jesus Alberto Lopez Lopez","Jesus Alberto Lopez Lopez","Jesus Alberto Lopez Lopez","Registro","","20220903475-00","Compra de materiales y productos de tintas, pinturas, diluyentes y plasticos de la unidad tecnica de gestion vial de la municipalidad de turrubares","Bienes","Contratación directa","Cantidad definida","En línea","https://www.sicop.go.cr","28/09/2022 14:00","03/10/2022 14:00","03/10/2022 14:01","10 Días hábiles",750000,"","Contratación directa por escasa cuantía (art.2 inc. h) LCA y art. 144 RLCA)","116"
"152","Contrato","28/09/2022 13:41","Real","2022CD-000062-0021911601","-","Municipalidad ","Turrubares","No","Jesus Alberto Lopez Lopez","Jesus Alberto Lopez Lopez","Jesus Alberto Lopez Lopez","Registro","","20220903500-00","Compra de herramientas e instrumentos para la unidad tecnica de gestión vial de la municipalidad de turrubares","Bienes","Contratación directa","Cantidad definida","En línea","https://www.sicop.go.cr","28/09/2022 14:00","03/10/2022 15:00","03/10/2022 15:01","10 Días hábiles",670000,"","Contratación directa por escasa cuantía (art.2 inc. h) LCA y art. 144 RLCA)","116"
"153","Adjudicación en firme","28/09/2022 13:55","Real","2022CD-000064-0021911601","-","Municipalidad ","Turrubares","No","Jesus Alberto Lopez Lopez","Jesus Alberto Lopez Lopez","Jesus Alberto Lopez Lopez","Registro","","20220903843-00","Servicio de alineado, rotacion y balanceo de llantas para los vehiculos de la unidad de gestión vial de la municipalidad de turrubares.","Bienes/servicios","Contratación directa","Cantidad definida","En línea","https://www.sicop.go.cr","29/09/2022 10:00","04/10/2022 14:00","04/10/2022 14:01","10 Días hábiles",4e+05,"","Contratación directa por escasa cuantía (art.2 inc. h) LCA y art. 144 RLCA)","116"
"154","Adjudicación en firme","28/09/2022 13:59","Real","2022CD-000065-0021911601","-","Municipalidad ","Turrubares","No","Jesus Alberto Lopez Lopez","Jesus Alberto Lopez Lopez","Jesus Alberto Lopez Lopez","Registro","","20220903971-00","“Servicios de cambio y reparación de llantas según demanda de equipos y vehculos de la unidad tecnica de gestión vial, municipalidad de turrubares”","Servicios","Contratación directa","Cantidad definida","En línea","https://www.sicop.go.cr","30/09/2022 10:00","05/10/2022 13:00","05/10/2022 13:01","10 Días hábiles",3e+05,"","Contratación directa por escasa cuantía (art.2 inc. h) LCA y art. 144 RLCA)","116"
"155","Adjudicación en firme","28/09/2022 14:05","Real","2022CD-000066-0021911601","-","Municipalidad ","Turrubares","No","Jesus Alberto Lopez Lopez","Jesus Alberto Lopez Lopez","Jesus Alberto Lopez Lopez","Modificar","20220903986-01","20220903986-00","Compra e instalación de señalizacion vertical para los distritos de la municipalidad de turrubares","Bienes/servicios","Contratación directa","Cantidad definida","En línea","https://www.sicop.go.cr","05/10/2022 13:00","07/10/2022 15:00","07/10/2022 15:01","10 Días hábiles",4200000,"","Contratación directa por escasa cuantía (art.2 inc. h) LCA y art. 144 RLCA)","116"
"156","Contrato","28/09/2022 16:27","Real","2022LA-000020-0004611901","-","Municipalidad ","Perez Zeledon","No","Julian Fallas Carvajal","Julian Fallas Carvajal","Julian Fallas Carvajal","Modificar","20220904073-01 20220904073-02","20220904073-00","Servicio de fumigación para los edificios de la municipalidad de pérez zeledón (modalidad: entrega según demanda)","Servicios","Licitación abreviada","Según demanda","En línea","https://www.sicop.go.cr","29/09/2022 07:00","25/10/2022 10:00","25/10/2022 10:00","20 Días hábiles",10528290,"",NA,"119"
"157","Contrato","29/09/2022 07:52","Real","2022CD-000031-0020000306","-","Municipalidad ","Alvarado","No","Cristel Melissa Tencio Montero","Cristel Melissa Tencio Montero","Cristel Melissa Tencio Montero","Registro","","20220903570-00","Compra de llantas para los vehículos de la utgvm municipalidad de alvarado","Bienes","Contratación directa","Cantidad definida","En línea","https://www.sicop.go.cr","29/09/2022 08:00","05/10/2022 08:00","05/10/2022 08:01","10 Días hábiles",7415000,"","Contratación directa por escasa cuantía (art.2 inc. h) LCA y art. 144 RLCA)","306"
"158","Contrato","29/09/2022 09:33","Real","2022CD-000070-0023600001","-","Municipalidad ","Cañas","No","Patricia Wong Quesada","Patricia Wong Quesada","Patricia Wong Quesada","Modificar","20220904420-01","20220904420-00","Contratación de servicios profesionales para finalización del proceso de desarrollo de la aplicación app móvil y su mantenimiento respectivo, para la municipalidad de cañas","Servicios","Contratación directa","Servicios","En línea","https://www.sicop.go.cr","30/09/2022 08:00","06/10/2022 15:00","06/10/2022 15:01","10 Días hábiles",2590107.3,"4.070 [USD]","Contratación directa por ser oferente único (Artículo 2 inc. d LCA y artículo 139 inciso a RLCA).","506"
"159","Adjudicación en firme","29/09/2022 12:29","Real","2022CD-000147-0002300005","-","Municipalidad ","Sarapiqui","No","Elvin Hernandez Loria","Elvin Hernandez Loria","Elvin Hernandez Loria","Registro","","20220904504-00","Solicitud de contratación de servicios auxiliares para el departamento de plataforma de servicios de la municipalidad de sarapiquí","Servicios","Contratación directa","Según demanda","En línea","https://www.sicop.go.cr","29/09/2022 13:00","03/10/2022 12:00","03/10/2022 12:00","4 Días hábiles",2778.49,"","Contratación directa por escasa cuantía (art.2 inc. h) LCA y art. 144 RLCA)","410"
"160","Contrato","29/09/2022 13:11","Real","2022CD-000164-0000700001","-","Municipalidad ","Grecia","No","Jacqueline Andrea Soto Vargas","Jacqueline Andrea Soto Vargas","Jacqueline Andrea Soto Vargas","Registro","","20220904517-00","Servicio de capacitación para funcionarios de diferentes áreas de la municipalidad de grecia referente a la ley marco de empleo público","Servicios","Contratación directa","Cantidad definida","En línea","https://www.sicop.go.cr","29/09/2022 13:15","03/10/2022 10:00","03/10/2022 10:00","4 Días hábiles",509112,"800 [USD]","Contratación directa para servicios de capacitación (Artículo 2 inc. d) LCA y artículo 139 inciso e) RLCA.","203"
"161","Contrato","29/09/2022 13:39","Real","2022LA-000025-0021700001","-","Municipalidad ","Heredia","No","Silvia Elena Espinoza Quesada","Silvia Elena Espinoza Quesada","Silvia Elena Espinoza Quesada","Registro","","20220904530-00","Contratación de obras de estabilización del talud en sector villas del boulevard para la municipalidad de heredia","Bienes","Licitación abreviada","Servicios","En línea","https://www.sicop.go.cr","11/10/2022 08:00","13/10/2022 09:00","13/10/2022 09:00","20 Días hábiles",159800000,"",NA,"401"
"162","Adjudicación en firme","29/09/2022 14:35","Real","2022CD-000228-0021700001","-","Municipalidad ","Heredia","No","Enio Vargas Arrieta","Enio Vargas Arrieta","Enio Vargas Arrieta","Modificar","20220904558-01","20220904558-00","Contratacion de servicios profesionales para diseño de area publica urb berta eugenia para la municipalidad de heredia","Servicios","Contratación directa","Servicios","En línea","https://www.sicop.go.cr","04/10/2022 12:00","05/10/2022 10:00","05/10/2022 10:00","8 Días hábiles",1e+07,"","Contratación directa por escasa cuantía (art.2 inc. h) LCA y art. 144 RLCA)","401"
"163","Contrato","29/09/2022 15:05","Real","2022CD-000229-0021700001","-","Municipalidad ","Heredia","No","Enio Vargas Arrieta","Ericka Arguello Sanchez","Enio Vargas Arrieta","Registro","","20220904575-00","Servicios de impresion de rotulos para la municipalidad de heredia","Servicios","Contratación directa","Cantidad definida","En línea","https://www.sicop.go.cr","30/09/2022 07:00","04/10/2022 14:00","04/10/2022 14:00","6 Días hábiles",2415000,"","Contratación directa por escasa cuantía (art.2 inc. h) LCA y art. 144 RLCA)","401"
"164","Contrato","29/09/2022 15:30","Real","2022CD-000190-0003100001","-","Municipalidad ","Puntarenas","No","Luis Edward Rojas Barrantes","Luis Edward Rojas Barrantes","Ingrid Gomez Ramirez","Modificar","20220904337-01","20220904337-00","Compra de zapatos para el personal de los diferentes departamentos de la municipalidad de de puntarenas y utgv.","Bienes","Contratación directa","Cantidad definida","En línea","https://www.sicop.go.cr","29/09/2022 16:00","05/10/2022 16:00","05/10/2022 16:15","10 Días hábiles",2679000,"4.209,68 [USD]","Contratación directa por escasa cuantía (art.2 inc. h) LCA y art. 144 RLCA)","601"
"165","Contrato","29/09/2022 15:47","Real","2022CD-000217-0021600001","-","Municipalidad ","Desamparados","No","Iliana Zamora Araya","Iliana Zamora Araya","Iliana Zamora Araya","Registro","","20220904600-00","Desarrollo de módulo de recolección de residuos para plataforma de composteros de la municipalidad de desamparados","Bienes","Contratación directa","Servicios","En línea","https://www.sicop.go.cr","30/09/2022 08:30","05/10/2022 00:00","05/10/2022 09:30","5 Días hábiles",13789718,"","Contratación directa por escasa cuantía (art.2 inc. h) LCA y art. 144 RLCA)","103"
"166","Adjudicación en firme","30/09/2022 15:57","Real","2022CD-000213-0024100001","-","Municipalidad ","Goicoechea","No","Ariana Melissa García Arias","Ariana Melissa García Arias","Ariana Melissa García Arias","Registro","","20220904821-00","Contratación de servicio que desarrolle un modelo anual y periódico de rendición de cuentas de la municipalidad de goicoechea.","Servicios","Contratación directa","Servicios","En línea","https://www.sicop.go.cr","04/10/2022 12:00","05/10/2022 12:00","05/10/2022 12:01","10 Días hábiles",2785000,"","Contratación directa por escasa cuantía (art.2 inc. h) LCA y art. 144 RLCA)","108"
"167","Contrato","03/10/2022 10:32","Real","2022CD-000141-0004200001","-","Municipalidad ","Buenos Aires","No","Carlos Alban Serrano Siles","Carlos Alban Serrano Siles","Carlos Alban Serrano Siles","Registro","","20220904243-00","Compra de alimento para tilapias convenio cac - municipalidad","Bienes","Contratación directa","Cantidad definida","En línea","https://www.sicop.go.cr","03/10/2022 18:00","06/10/2022 08:00","06/10/2022 08:00","10 Días hábiles",489000,"","Contratación directa por escasa cuantía (art.2 inc. h) LCA y art. 144 RLCA)","603"
