"","Funcionarios.relacionados","Estado.del.concurso","Fecha.hora.de.publicación","Cartel","Número.de.procedimiento","Número.de.SICOP","Nombre.de.la.institución","Concurso.confidencial","Encargado.de.publicación..gestión.de.objeciones.y.apertura","Elaborador","Encargado.de.solicitar.estudio.de.ofertas.recomendación.del.acto.final","Registro.del.pliego.de.condiciones","Versiones.del.cartel","Versión.en.consulta","Descripción.del.procedimiento","Clasificación.del.objeto","Tipo.de.procedimiento","Tipo.de.modalidad","Tipo.de.recepción.de.ofertas","Lugar.de.apertura","Inicio.de.recepción.de.ofertas","Cierre.de.recepción.de.ofertas","Fecha.hora.de.apertura.de.ofertas","Plazo.del.acto.final","Presupuesto.total.estimado","Presupuesto.total.estimado.USD..Opcional.","Fundamento.jurídico"
"111","Funcionarios relacionados con el concurso","Adjudicación en firme","08/09/2022 11:00","Real","2022CD-000205-0021700001","-","Municipalidad de Heredia","No","Enio Vargas Arrieta","Enio Vargas Arrieta","Enio Vargas Arrieta","Registro","","20220901056-00","ACTIVIDADES Y EQUIPOS DE SONIDO PARA LA SEMANA CIVICA PARA LA MUNICIPALIDAD DE HEREDIA","SERVICIOS","CONTRATACIÓN DIRECTA","Servicios","En línea","https://www.sicop.go.cr","08/09/2022 12:00","09/09/2022 10:00","09/09/2022 10:00","1 Días hábiles","1.800.000 [CRC]","","Contratación directa por ser oferente único (Artículo 2 inc. d LCA y artículo 139 inciso a RLCA)."
"112","Funcionarios relacionados con el concurso","Contrato","08/09/2022 11:23","Real","2022CD-000206-0021700001","-","Municipalidad de Heredia","No","ERICKA ARGUELLO SANCHEZ","ERICKA ARGUELLO SANCHEZ","ERICKA ARGUELLO SANCHEZ","Registro","","20220901064-00","CONTRATACION DE MANTENIMIENTO DE EDIFICIOS EN EL CAMPO FERIAL LA PERLA DE LA MUNICIPALIDAD DE HEREDIA","SERVICIOS","CONTRATACIÓN DIRECTA","Cantidad definida","En línea","https://www.sicop.go.cr","09/09/2022 07:00","14/09/2022 14:00","14/09/2022 14:00","8 Días hábiles","868.000 [CRC]","","Contratación directa por escasa cuantía (art.2 inc. h) LCA y art. 144 RLCA)"
"113","Funcionarios relacionados con el concurso","Contrato","08/09/2022 15:18","Real","2022CD-000208-0021700001","-","Municipalidad de Heredia","No","KIMBERLYN DE LOS ANGELES VILLALOBOS DIAZ","KIMBERLYN DE LOS ANGELES VILLALOBOS DIAZ","KIMBERLYN DE LOS ANGELES VILLALOBOS DIAZ","Registro","","20220901192-00","COMPRA DE ARTICULOS PARA MOTORIZADOS DE LA MUNICIPALIDAD DE HEREDIA","BIENES","CONTRATACIÓN DIRECTA","Cantidad definida","En línea","https://www.sicop.go.cr","13/09/2022 06:00","15/09/2022 13:00","15/09/2022 13:00","10 Días hábiles","707.500 [CRC]","","Contratación directa por escasa cuantía (art.2 inc. h) LCA y art. 144 RLCA)"
"114","Funcionarios relacionados con el concurso","En evaluación","08/09/2022 15:43","Real","2022CD-000033-0015900001","-","MUNICIPALIDAD DE SAN RAMON","No","Katherine Carr Rodríguez","Katherine Carr Rodríguez","Katherine Carr Rodríguez","Registro","","20220901153-00","SERVICIO PARA ACTUALIZAR Y COMPLEMENTAR EL MANUAL DE ASEGURAMIENTO DEL SISTEMA CONTROL DE CALIDAD DE LA AUDITORÍA INTERNA DE LA MUNICIPALIDAD DE SAN RAMÓN","SERVICIOS","CONTRATACIÓN DIRECTA","Cantidad definida","En línea","https://www.sicop.go.cr","08/09/2022 16:00","13/09/2022 15:00","13/09/2022 15:00","10 Días hábiles","2.000.000 [CRC]","","Contratación directa por escasa cuantía (art.2 inc. h) LCA y art. 144 RLCA)"
"115","Funcionarios relacionados con el concurso","Contrato","12/09/2022 13:09","Real","2022CD-000210-0021700001","-","Municipalidad de Heredia","No","KIMBERLYN DE LOS ANGELES VILLALOBOS DIAZ","KIMBERLYN DE LOS ANGELES VILLALOBOS DIAZ","KIMBERLYN DE LOS ANGELES VILLALOBOS DIAZ","Modificar","20220901605-01","20220901605-00","COMPRA DE SILLAS Y MESAS PLEGABLES PARA LA MUNICIPALIDAD DE HEREDIA","BIENES","CONTRATACIÓN DIRECTA","Cantidad definida","En línea","https://www.sicop.go.cr","15/09/2022 06:00","20/09/2022 10:00","20/09/2022 10:00","10 Días hábiles","1.487.000 [CRC]","","Contratación directa por escasa cuantía (art.2 inc. h) LCA y art. 144 RLCA)"
"116","Funcionarios relacionados con el concurso","Contrato","12/09/2022 13:44","Real","2022CD-000149-0000700001","-","Municipalidad de Grecia","No","JACQUELINE ANDREA SOTO VARGAS","JACQUELINE ANDREA SOTO VARGAS","JACQUELINE ANDREA SOTO VARGAS","Modificar","20220901620-01","20220901620-00","La Municipalidad de Grecia requiere la compra de materiales para labores de mantenimiento en el Mercado Municipal y Cementerio","BIENES","CONTRATACIÓN DIRECTA","Cantidad definida","En línea","https://www.sicop.go.cr","12/09/2022 13:50","16/09/2022 08:00","16/09/2022 08:00","8 Días hábiles","2.117.200 [CRC]","","Contratación directa por escasa cuantía (art.2 inc. h) LCA y art. 144 RLCA)"
"117","Funcionarios relacionados con el concurso","Contrato","12/09/2022 14:30","Real","2022CD-000034-0022900511","-","Municipalidad de Hojancha","No","WADIH MEJIAS ESPINOZA","WADIH MEJIAS ESPINOZA","WADIH MEJIAS ESPINOZA","Registro","","20220901611-00","Equipos de cómputo portátil, UPS, refacciones, monitores y artículos varios para uso de la Administración Municipalidad de Hojancha","BIENES/SERVICIOS","CONTRATACIÓN DIRECTA","Cantidad definida","En línea","https://www.sicop.go.cr","15/09/2022 15:30","16/09/2022 10:00","16/09/2022 11:00","10 Días hábiles","3.710.000 [CRC]","","Contratación directa por escasa cuantía (art.2 inc. h) LCA y art. 144 RLCA)"
"118","Funcionarios relacionados con el concurso","Contrato","12/09/2022 15:57","Real","2022CD-000033-0019400001","-","Municipalidad de Osa","No","Anthony Gámez Picado","Anthony Gámez Picado","Anthony Gámez Picado","Modificar","20220901655-01","20220901655-00","ADQUISICIÓN DE MOBILIARIO PARA ALCALDÍA MUNICIPAL Y MUEBLES MODULARES PARA LAS OFICINAS DE LA MUNICIPALIDAD DE OSA","BIENES","CONTRATACIÓN DIRECTA","Cantidad definida","En línea","https://www.sicop.go.cr","13/09/2022 10:00","21/09/2022 10:00","21/09/2022 10:05","8 Días hábiles","19.500.000 [CRC]","","Contratación directa por escasa cuantía (art.2 inc. h) LCA y art. 144 RLCA)"
"119","Funcionarios relacionados con el concurso","Contrato","13/09/2022 10:51","Real","2022CD-000015-0021100001","-","MUNICIPALIDAD DE OROTINA","No","Jeffry Miranda Mena","Ana Lucia Chaves Peréz","Jeffry Miranda Mena","Registro","","20220901792-00","COMPRA DE PAPELERIA, TINTAS Y SUMINISTROS DE OFICINA PARA LA MUNICIPALIDAD DE OROTINA SEGÚN DEMANDA","BIENES","CONTRATACIÓN DIRECTA","Según demanda","En línea","https://www.sicop.go.cr","13/09/2022 16:00","20/09/2022 08:00","20/09/2022 08:05","10 Días hábiles","2.226.999,16 [CRC]","","Contratación directa por escasa cuantía (art.2 inc. h) LCA y art. 144 RLCA)"
"120","Funcionarios relacionados con el concurso","Adjudicación en firme","14/09/2022 08:40","Real","2022CD-000022-0004400001","-","Municipalidad de Golfito","No","KAREN MIRELLI MOYA DIAZ","KAREN MIRELLI MOYA DIAZ","KAREN MIRELLI MOYA DIAZ","Registro","","20220901924-00","Convenio de cooperación entre las Municipalidades de Golfito y Corredores para la disposición final de residuos sólidos del cantón de Golfito","SERVICIOS","CONTRATACIÓN DIRECTA","Cantidad definida","En línea","https://www.sicop.go.cr","14/09/2022 09:00","15/09/2022 16:00","15/09/2022 16:00","5 Días naturales","6.194.670 [CRC]","","Contratación directa de actividad contractual desarrollada entre sujetos de derecho público (Artículo 2 inc. c) LCA y artículo 138 RLCA."
"121","Funcionarios relacionados con el concurso","Contrato","14/09/2022 11:06","Real","2022CD-000013-0003700001","-","MUNICIPALIDAD DE SAN PABLO DE HEREDIA","No","ADRIANA PATRICIA BENAVIDES VARGAS","ADRIANA PATRICIA BENAVIDES VARGAS","ADRIANA PATRICIA BENAVIDES VARGAS","Registro","","20220902060-00","CONTRATACIÓN PARA REALIZAR LA COMPRA DE SACOS DE CEMENTO (ESTRUCTURAL) PARA EL DEPARTAMENTO DE OBRAS DE LA MUNICIPALIDAD DE SAN PABLO DE HEREDIA","BIENES","CONTRATACIÓN DIRECTA","Cantidad definida","En línea","https://www.sicop.go.cr","15/09/2022 16:00","21/09/2022 11:00","21/09/2022 11:01","6 Días hábiles","3.000.000 [CRC]","","Contratación directa por escasa cuantía (art.2 inc. h) LCA y art. 144 RLCA)"
"122","Funcionarios relacionados con el concurso","Contrato","14/09/2022 11:46","Real","2022LA-000019-0023570101","-","MUNICIPALIDAD DE LIMON","No","KINBERLIN ARRIETA SALAS","KINBERLIN ARRIETA SALAS","KINBERLIN ARRIETA SALAS","Modificar","20220902056-01 20220902056-02","20220902056-00","Contratación de compra de uniformes para todos los funcionarios de la Municipalidad del Cantón Central de Limón","BIENES/SERVICIOS","LICITACIÓN ABREVIADA","Cantidad definida","En línea","https://www.sicop.go.cr","15/09/2022 11:00","28/09/2022 00:00","28/09/2022 11:05","10 Días hábiles","45.291.402 [CRC]","",NA
"123","Funcionarios relacionados con el concurso","Contrato","14/09/2022 13:52","Real","2022CD-000292-0002400001","-","MUNICIPALIDAD DE SANTA ANA","No","MARCO ANTONIO VALVERDE GUILLEN","MARCO ANTONIO VALVERDE GUILLEN","MARCO ANTONIO VALVERDE GUILLEN","Registro","","20220902124-00","Contratación servicios para proyecto de producción de video y cápsulas informativas del que hacer municipal y para informe de rendición de cuentas 2021, de la Municipalidad","SERVICIOS","CONTRATACIÓN DIRECTA","Cantidad definida","En línea","https://www.sicop.go.cr","14/09/2022 14:00","20/09/2022 15:00","20/09/2022 15:05","6 Días hábiles","4.700.000 [CRC]","","Contratación directa por escasa cuantía (art.2 inc. h) LCA y art. 144 RLCA)"
"124","Funcionarios relacionados con el concurso","Adjudicación en firme","15/09/2022 15:31","Real","2022CD-000130-0003900001","-","MUNICIPALIDAD DE NICOYA","No","MARIA AZUCENA RODRIGUEZ JIMENEZ","MARIA AZUCENA RODRIGUEZ JIMENEZ","MARIA AZUCENA RODRIGUEZ JIMENEZ","Registro","","20220902377-00","Servicios profesionales para soporte profesional al departamento de Control Constructivo y Obra Pública de la Municipalidad de Nicoya","SERVICIOS","CONTRATACIÓN DIRECTA","Servicios","En línea","https://www.sicop.go.cr","16/09/2022 16:30","20/09/2022 10:00","20/09/2022 10:01","10 Días hábiles","9.000.000 [CRC]","","Contratación directa por escasa cuantía (art.2 inc. h) LCA y art. 144 RLCA)"
"125","Funcionarios relacionados con el concurso","Contrato","16/09/2022 07:38","Real","2022CD-000143-0020800001","-","Municipalidad de Escazu","No","JENNY MARCELA ARAYA LEON","JENNY MARCELA ARAYA LEON","JENNY MARCELA ARAYA LEON","Registro","","20220902109-00","Servicios de Asesoría para la evaluación de las cargas de trabajo asociadas a la gestión de los procesos de la Municipalidad de Escazú","SERVICIOS","CONTRATACIÓN DIRECTA","Servicios","En línea","https://www.sicop.go.cr","16/09/2022 08:00","10/10/2022 09:59","10/10/2022 10:00","10 Días hábiles","13.000.000 [CRC]","","Contratación directa de actividad contractual desarrollada entre sujetos de derecho público (Artículo 2 inc. c) LCA y artículo 138 RLCA."
"126","Funcionarios relacionados con el concurso","","16/09/2022 11:47","Real","2022LA-000008-0003400001","-","Municipalidad de Montes de Oca","No","RONNY CECILIANO VALVERDE","RONNY CECILIANO VALVERDE","RONNY CECILIANO VALVERDE","Sin efecto","20220902513-01","20220902513-00","Proyecto de Cáncer de Mama, Municipalidad Montes de Oca [Sin efecto]","SERVICIOS","LICITACIÓN ABREVIADA","Cantidad definida","En línea","https://www.sicop.go.cr","16/09/2022 12:00","03/10/2022 10:00","03/10/2022 10:00","20 Días hábiles","43.125.000 [CRC]","",NA
"127","Funcionarios relacionados con el concurso","Contrato","20/09/2022 08:19","Real","2022CD-000144-0020800001","-","Municipalidad de Escazu","No","Ronald Morales Cerdas","Ronald Morales Cerdas","Ronald Morales Cerdas","Registro","","20220902469-00","Servicio de confección de formularios y sellos para la Municipalidad de Escazú","BIENES/SERVICIOS","CONTRATACIÓN DIRECTA","Según demanda","En línea","https://www.sicop.go.cr","20/09/2022 08:30","23/09/2022 07:30","23/09/2022 07:31","10 Días hábiles","1.000.000 [CRC]","","Contratación directa por escasa cuantía (art.2 inc. h) LCA y art. 144 RLCA)"
"128","Funcionarios relacionados con el concurso","Contrato","20/09/2022 09:11","Real","2022CD-000122-0003400001","-","Municipalidad de Montes de Oca","No","RONNY CECILIANO VALVERDE","RONNY CECILIANO VALVERDE","RONNY CECILIANO VALVERDE","Modificar","20220902656-01","20220902656-00","Talleres de Marimba y Compra de Marimba Municipalidad de Montes de Oca","BIENES/SERVICIOS","CONTRATACIÓN DIRECTA","Cantidad definida","En línea","https://www.sicop.go.cr","20/09/2022 09:15","27/09/2022 10:00","27/09/2022 10:00","10 Días hábiles","3.750.000 [CRC]","","Contratación directa por escasa cuantía (art.2 inc. h) LCA y art. 144 RLCA)"
"129","Funcionarios relacionados con el concurso","Contrato","20/09/2022 11:57","Real","2022CD-000134-0003900001","-","MUNICIPALIDAD DE NICOYA","No","María Teresa Salas Murillo","María Teresa Salas Murillo","María Teresa Salas Murillo","Registro","","20220902733-00","Adquisición de moto guadaña profesional multifuncional, para uso del Depto. de Gestión Ambiental de la Municipalidad de Nicoya","BIENES","CONTRATACIÓN DIRECTA","Cantidad definida","En línea","https://www.sicop.go.cr","20/09/2022 13:00","23/09/2022 14:00","23/09/2022 14:01","10 Días hábiles","750.000 [CRC]","","Contratación directa por escasa cuantía (art.2 inc. h) LCA y art. 144 RLCA)"
"130","Funcionarios relacionados con el concurso","Contrato","21/09/2022 11:47","Real","2022LA-000011-0011900001","-","Municipalidad de Liberia","No","JUAN PABLO MORA ULLOA","JUAN PABLO MORA ULLOA","JUAN PABLO MORA ULLOA","Modificar","20220902981-01","20220902981-00","COMPRA DE AMBULANCIA CONVENIO CRUZ ROJA - MUNICIPALIDAD DE LIBERIA","BIENES","LICITACIÓN ABREVIADA","Cantidad definida","En línea","https://www.sicop.go.cr","21/09/2022 11:50","28/09/2022 16:00","29/09/2022 07:00","10 Días hábiles","41.737.430.240 [CRC]","",NA
"131","Funcionarios relacionados con el concurso","Contrato","21/09/2022 15:28","Real","2022CD-000026-0025700001","-","Municipalidad de Siquirres","No","SANDRA VARGAS FERNANDEZ","SANDRA VARGAS FERNANDEZ","SANDRA VARGAS FERNANDEZ","Registro","","20220902796-00","Servicios integrales para las Actividades protocolarias y sociales realizadas por la municipalidad de Siquirres","BIENES/SERVICIOS","CONTRATACIÓN DIRECTA","Servicios","En línea","https://www.sicop.go.cr","21/09/2022 16:00","23/09/2022 11:00","23/09/2022 11:00","4 Días hábiles","3.850.000 [CRC]","","Contratación directa por escasa cuantía (art.2 inc. h) LCA y art. 144 RLCA)"
"132","Funcionarios relacionados con el concurso","Contrato","21/09/2022 15:30","Real","2022CD-000065-0021500001","-","MUNICIPALIDAD DE UPALA","No","CARLOS ALEXANDER NOGUERA CASTILLO","CARLOS ALEXANDER NOGUERA CASTILLO","CARLOS ALEXANDER NOGUERA CASTILLO","Registro","","20220903077-00","Contratación de persona física o jur para la adquisición del servicio de alquiler de GPS y Control de Combustible para la flotilla vehicular de la Municipalidad de Upala.","BIENES/SERVICIOS","CONTRATACIÓN DIRECTA","Cantidad definida","En línea","https://www.sicop.go.cr","22/09/2022 00:00","26/09/2022 10:00","26/09/2022 10:01","10 Días hábiles","3.800.002,03 [CRC]","","Contratación directa por escasa cuantía (art.2 inc. h) LCA y art. 144 RLCA)"
"133","Funcionarios relacionados con el concurso","Contrato","21/09/2022 15:35","Real","2022CD-000216-0021700001","-","Municipalidad de Heredia","No","Enio Vargas Arrieta","Enio Vargas Arrieta","Enio Vargas Arrieta","Modificar","20220903088-01","20220903088-00","SERVICIOS PROFESIONALES EVALUACION DE RIESGOS GEOTECNICOS RIO BERMUDEZ Y ESTUDIOS Y DISEÑO DE OBRA DE ESTABILIZACION EN SITIO LOS ARCOS PARA LA MUNICIPALIDAD DE HEREDIA","SERVICIOS","CONTRATACIÓN DIRECTA","Servicios","En línea","https://www.sicop.go.cr","23/09/2022 12:00","27/09/2022 10:00","27/09/2022 10:00","6 Días hábiles","17.000.000 [CRC]","","Contratación directa por escasa cuantía (art.2 inc. h) LCA y art. 144 RLCA)"
"134","Funcionarios relacionados con el concurso","Contrato","21/09/2022 16:33","Real","2022CD-000218-0021700001","-","Municipalidad de Heredia","No","ERICKA ARGUELLO SANCHEZ","ERICKA ARGUELLO SANCHEZ","ERICKA ARGUELLO SANCHEZ","Registro","","20220903104-00","CONTRATACION DE SERVICIOS EN ACTIVIDAD CULTURAL ESPECTACULO DE CUENTOS Y LEYENDAS PARA LA MUNICIPALIDAD DE HEREDIA","SERVICIOS","CONTRATACIÓN DIRECTA","Cantidad definida","En línea","https://www.sicop.go.cr","22/09/2022 07:00","26/09/2022 11:00","26/09/2022 11:00","6 Días hábiles","1.450.000 [CRC]","","Contratación directa por ser oferente único (Artículo 2 inc. d LCA y artículo 139 inciso a RLCA)."
"135","Funcionarios relacionados con el concurso","Contrato","21/09/2022 16:51","Real","2022CD-000219-0021700001","-","Municipalidad de Heredia","No","ERICKA ARGUELLO SANCHEZ","ERICKA ARGUELLO SANCHEZ","ERICKA ARGUELLO SANCHEZ","Registro","","20220903108-00","CONTRATACION DE SERVICIOS DE ORGANIZACIÓN Y PRODUCCION DE EVENTO DE BARRIO EN BARRIO PARA LA MUNICIPALIDAD DE HEREDIA","SERVICIOS","CONTRATACIÓN DIRECTA","Cantidad definida","En línea","https://www.sicop.go.cr","22/09/2022 07:00","26/09/2022 11:00","26/09/2022 11:00","6 Días hábiles","5.920.000 [CRC]","","Contratación directa por ser oferente único (Artículo 2 inc. d LCA y artículo 139 inciso a RLCA)."
"136","Funcionarios relacionados con el concurso","Contrato","22/09/2022 08:57","Real","2022CD-000058-0017700001","-","INSTITUTO DE FOMENTO Y ASESORIA MUNICIPAL","No","MARICELA CHAVES BARBOZA","MARICELA CHAVES BARBOZA","MARICELA CHAVES BARBOZA","Registro","","20220903165-00","CONFECCIÓN DE BANDERAS PARA MUNICIPALIDADES GALARDONADAS EN EL PROGRAMA DE CAPACITACIÓN BANDERA AZUL ECOLÓGICA","BIENES","CONTRATACIÓN DIRECTA","Cantidad definida","En línea","https://www.sicop.go.cr","23/09/2022 08:00","28/09/2022 10:00","28/09/2022 10:01","10 Días hábiles","1.102.352,46 [CRC]","","Contratación directa por escasa cuantía (art.2 inc. h) LCA y art. 144 RLCA)"
"137","Funcionarios relacionados con el concurso","Contrato","22/09/2022 11:20","Real","2022CD-000055-0021911601","-","Municipalidad de Turrubares","No","JESUS ALBERTO LOPEZ LOPEZ","JESUS ALBERTO LOPEZ LOPEZ","JESUS ALBERTO LOPEZ LOPEZ","Registro","","20220902857-00","COMPRA DE LLANTAS PARA LOS VEHICULOS SM-5474 y SM-7763 DE LA UNIDAD DE GESTIÓN VIAL DE LA MUNICIPALIDAD DE TURRUBARES","BIENES","CONTRATACIÓN DIRECTA","Cantidad definida","En línea","https://www.sicop.go.cr","22/09/2022 13:00","27/09/2022 14:00","27/09/2022 14:01","10 Días hábiles","960.000 [CRC]","","Contratación directa por escasa cuantía (art.2 inc. h) LCA y art. 144 RLCA)"
"138","Funcionarios relacionados con el concurso","Adjudicación en firme","22/09/2022 11:34","Real","2022CD-000220-0021700001","-","Municipalidad de Heredia","No","Enio Vargas Arrieta","Enio Vargas Arrieta","Enio Vargas Arrieta","Registro","","20220903260-00","SERVICIOS PROFESIONALES PARA SOPORTE DE APLICACION APP MOVIL DEL SISTEMA DE TIEMPO PARA ESTACIONAMIENTO AUTORIZADO DE LA MUNICIPALIDAD DE HEREDIA","BIENES","CONTRATACIÓN DIRECTA","Servicios","En línea","https://www.sicop.go.cr","26/09/2022 12:00","27/09/2022 10:00","27/09/2022 10:00","6 Días hábiles","3.000.000 [CRC]","","Contratación directa por ser oferente único (Artículo 2 inc. d LCA y artículo 139 inciso a RLCA)."
"139","Funcionarios relacionados con el concurso","Contrato","22/09/2022 11:49","Real","2022CD-000221-0021700001","-","Municipalidad de Heredia","No","KIMBERLYN DE LOS ANGELES VILLALOBOS DIAZ","KIMBERLYN DE LOS ANGELES VILLALOBOS DIAZ","KIMBERLYN DE LOS ANGELES VILLALOBOS DIAZ","Modificar","20220903246-01","20220903246-00","COMPRA DE ARTICULOS DE RESGUARDO Y SEGURIDAD PARA LA MUNICIPALIDAD DE HEREDIA","BIENES","CONTRATACIÓN DIRECTA","Cantidad definida","En línea","https://www.sicop.go.cr","27/09/2022 06:00","30/09/2022 10:00","30/09/2022 10:00","10 Días hábiles","5.458.500 [CRC]","","Contratación directa por escasa cuantía (art.2 inc. h) LCA y art. 144 RLCA)"
"140","Funcionarios relacionados con el concurso","Contrato","22/09/2022 13:08","Real","2022CD-000222-0021700001","-","Municipalidad de Heredia","No","KIMBERLYN DE LOS ANGELES VILLALOBOS DIAZ","KIMBERLYN DE LOS ANGELES VILLALOBOS DIAZ","KIMBERLYN DE LOS ANGELES VILLALOBOS DIAZ","Registro","","20220903276-00","COMPRA DE HERRAMIENTAS Y ARTICULOS FERRETEROS PARA ATENCION DE EMERGENCIAS DE LA MUNICIPALIDAD DE HEREDIA","BIENES","CONTRATACIÓN DIRECTA","Cantidad definida","En línea","https://www.sicop.go.cr","27/09/2022 06:00","29/09/2022 09:00","29/09/2022 09:00","10 Días hábiles","4.003.190 [CRC]","","Contratación directa por escasa cuantía (art.2 inc. h) LCA y art. 144 RLCA)"
"141","Funcionarios relacionados con el concurso","Contrato","23/09/2022 07:36","Real","2022CD-000266-0022030101","-","Municipalidad de Cartago","No","MARCO ANTONIO MONGE HIDALGO","MARCO ANTONIO MONGE HIDALGO","MARCO ANTONIO MONGE HIDALGO","Registro","","20220903249-00","21350 - Compra de tintas para los diferentes dispositivos de las dependencias de la Municipalidad de Cartago","BIENES","CONTRATACIÓN DIRECTA","Cantidad definida","En línea","https://www.sicop.go.cr","23/09/2022 08:00","29/09/2022 08:00","29/09/2022 08:05","10 Días hábiles","5.832.100 [CRC]","","Contratación directa por escasa cuantía (art.2 inc. h) LCA y art. 144 RLCA)"
"142","Funcionarios relacionados con el concurso","Desierto/Infructuoso","23/09/2022 09:45","Real","2022CD-000267-0022030101","-","Municipalidad de Cartago","No","Mauricio Aguilar Marin","Mauricio Aguilar Marin","Mauricio Aguilar Marin","Registro","","20220902695-00","21356 - La Municipalidad de Cartago está promoviendo la adquisición de contratos de mantenimiento de las UPS, gabinetes donde se encuentran los equipo","SERVICIOS","CONTRATACIÓN DIRECTA","Servicios","En línea","https://www.sicop.go.cr","23/09/2022 09:45","28/09/2022 13:00","28/09/2022 13:00","10 Días hábiles","2.100.000 [CRC]","","Contratación directa por escasa cuantía (art.2 inc. h) LCA y art. 144 RLCA)"
"143","Funcionarios relacionados con el concurso","Contrato","23/09/2022 13:47","Real","2022CD-000156-0000700001","-","Municipalidad de Grecia","No","JACQUELINE ANDREA SOTO VARGAS","JACQUELINE ANDREA SOTO VARGAS","JACQUELINE ANDREA SOTO VARGAS","Registro","","20220903558-00","La Municipalidad de Grecia requiere contratar una persona física o jurídica que suministre, sonido, alimentación, saloneros y decoración para Grecia se viste de rosa","SERVICIOS","CONTRATACIÓN DIRECTA","Cantidad definida","En línea","https://www.sicop.go.cr","23/09/2022 14:00","27/09/2022 08:00","27/09/2022 08:00","4 Días hábiles","1.023.750 [CRC]","","Contratación directa por escasa cuantía (art.2 inc. h) LCA y art. 144 RLCA)"
"144","Funcionarios relacionados con el concurso","Contrato","26/09/2022 13:18","Real","2022LA-000010-0003600001","-","Municipalidad de San Carlos","No","Nersy Arce Araya","Nersy Arce Araya","Nersy Arce Araya","Modificar","20220903632-01","20220903632-00","COMPRA DE UNA SOLUCIÓN PARA LA GESTIÓN DOCUMENTAL DE LA MUNICIPALIDAD SAN CARLOS, ENTREGA SEGÚN DEMANDA","SERVICIOS","LICITACIÓN ABREVIADA","Según demanda","En línea","https://www.sicop.go.cr","26/09/2022 14:00","10/10/2022 10:00","10/10/2022 10:00","20 Días hábiles","211.600.000.000 [CRC]","",NA
"145","Funcionarios relacionados con el concurso","Contrato","26/09/2022 13:40","Real","2022CD-000242-0003600001","-","Municipalidad de San Carlos","No","Nersy Arce Araya","Nersy Arce Araya","Nersy Arce Araya","Modificar","20220903637-01","20220903637-00","COMPRA DE EQUIPO DE COMPUTO PARA DIFERENTES DEPARTAMENTOS DE LA MUNICIPALIDAD DE SAN CARLOS","BIENES/SERVICIOS","CONTRATACIÓN DIRECTA","Cantidad definida","En línea","https://www.sicop.go.cr","26/09/2022 14:00","03/10/2022 16:00","03/10/2022 16:00","10 Días hábiles","21.960.000 [CRC]","","Contratación directa por escasa cuantía (art.2 inc. h) LCA y art. 144 RLCA)"
"146","Funcionarios relacionados con el concurso","Contrato","27/09/2022 07:38","Real","2022CD-000061-0002800001","-","Municipalidad de Tibás","No","MANUEL ANTONIO VEGA ALFARO","MANUEL ANTONIO VEGA ALFARO","MANUEL ANTONIO VEGA ALFARO","Registro","","20220903783-00","Contratación para la elaboración e implementación del Plan de Salud Ocupacional de la Municipalidad de Tibás.","SERVICIOS","CONTRATACIÓN DIRECTA","Cantidad definida","En línea","https://www.sicop.go.cr","27/09/2022 09:00","30/09/2022 10:00","30/09/2022 10:00","10 Días hábiles","2.300.000 [CRC]","","Contratación directa por escasa cuantía (art.2 inc. h) LCA y art. 144 RLCA)"
"147","Funcionarios relacionados con el concurso","Contrato","27/09/2022 14:11","Real","2022LA-000023-0021700001","-","Municipalidad de Heredia","No","Enio Vargas Arrieta","Enio Vargas Arrieta","Enio Vargas Arrieta","Modificar","20220903800-01 20220903800-02 20220903800-03","20220903800-00","CONSTRUCCION DE OBRA DE ESTABILIZACION EN TALUD URB SAN JORGE PARA LA MUNICIPALIDAD DE HEREDIA","BIENES","LICITACIÓN ABREVIADA","Servicios","En línea","https://www.sicop.go.cr","31/10/2022 07:00","02/11/2022 10:00","02/11/2022 10:00","20 Días hábiles","132.600.000 [CRC]","",NA
"148","Funcionarios relacionados con el concurso","Contrato","27/09/2022 15:09","Real","2022LA-000003-0023700001","-","Municipalidad de Quepos","No","Jonathan Mesén Jiménez","Jonathan Mesén Jiménez","Jonathan Mesén Jiménez","Modificar","20220904085-01 20220904085-02 20220904085-03 20220904085-04 20220904085-05","20220904085-00","Compra de tractor de oruga para la Unidad de Gestión Vial de la Municipalidad de Quepos.","BIENES","LICITACIÓN ABREVIADA","Cantidad definida","En línea","https://www.sicop.go.cr","27/09/2022 15:30","14/10/2022 10:00","14/10/2022 10:05","20 Días hábiles","120.000.000 [CRC]","",NA
"149","Funcionarios relacionados con el concurso","Contrato","28/09/2022 11:08","Real","2022CD-000153-0005500001","-","Municipalidad de Atenas","No","DIANA MARGOT VALERIO VÍQUEZ","DIANA MARGOT VALERIO VÍQUEZ","DIANA MARGOT VALERIO VÍQUEZ","Registro","","20220904230-00","Compra de aceite para unidades de la Municipalidad de Atenas.","BIENES","CONTRATACIÓN DIRECTA","Cantidad definida","En línea","https://www.sicop.go.cr","28/09/2022 11:30","03/10/2022 11:30","03/10/2022 11:30","10 Días hábiles","1.510.000 [CRC]","","Contratación directa por escasa cuantía (art.2 inc. h) LCA y art. 144 RLCA)"
