"","Estado.del.concurso","Fecha.hora.de.publicación","Número.de.procedimiento","Nombre","Versiones.del.cartel","Versión.en.consulta","Descripción.del.procedimiento","Clasificación.del.objeto","Tipo.de.procedimiento","Tipo.de.modalidad","Inicio.de.recepción.de.ofertas","Cierre.de.recepción.de.ofertas","Fecha.hora.de.apertura.de.ofertas","Plazo.del.acto.final","Presupuesto.total.estimado","Presupuesto.total.estimado.USD..Opcional.","Fundamento.jurídico","cant_cod"
"117","Contrato","13/09/2022 10:51","2022CD-000015-0021100001","Orotina","","20220901792-00","COMPRA DE PAPELERIA, TINTAS Y SUMINISTROS DE OFICINA PARA LA MUNICIPALIDAD DE OROTINA SEGÚN DEMANDA","Bienes","Contratación directa","Según demanda","13/09/2022 16:00","20/09/2022 08:00","20/09/2022 08:05","10 Días hábiles",2226999.16,"","Contratación directa por escasa cuantía (art.2 inc. h) LCA y art. 144 RLCA)",209
"118","Adjudicación en firme","14/09/2022 08:40","2022CD-000022-0004400001","Golfito","","20220901924-00","Convenio de cooperación entre las Municipalidades de Golfito y Corredores para la disposición final de residuos sólidos del cantón de Golfito","Servicios","Contratación directa","Cantidad definida","14/09/2022 09:00","15/09/2022 16:00","15/09/2022 16:00","5 Días naturales",6194670,"","Contratación directa de actividad contractual desarrollada entre sujetos de derecho público (Artículo 2 inc. c) LCA y artículo 138 RLCA.",607
"119","Contrato","14/09/2022 11:06","2022CD-000013-0003700001","San Pablo","","20220902060-00","CONTRATACIÓN PARA REALIZAR LA COMPRA DE SACOS DE CEMENTO (ESTRUCTURAL) PARA EL DEPARTAMENTO DE OBRAS DE LA MUNICIPALIDAD DE SAN PABLO DE HEREDIA","Bienes","Contratación directa","Cantidad definida","15/09/2022 16:00","21/09/2022 11:00","21/09/2022 11:01","6 Días hábiles",3e+06,"","Contratación directa por escasa cuantía (art.2 inc. h) LCA y art. 144 RLCA)",409
"120","Contrato","14/09/2022 11:46","2022LA-000019-0023570101","Limon","20220902056-01 20220902056-02","20220902056-00","Contratación de compra de uniformes para todos los funcionarios de la Municipalidad del Cantón Central de Limón","Bienes/servicios","Licitación abreviada","Cantidad definida","15/09/2022 11:00","28/09/2022 00:00","28/09/2022 11:05","10 Días hábiles",45291402,"",NA,701
"121","Contrato","14/09/2022 13:52","2022CD-000292-0002400001","Santa Ana","","20220902124-00","Contratación servicios para proyecto de producción de video y cápsulas informativas del que hacer municipal y para informe de rendición de cuentas 2021, de la Municipalidad","Servicios","Contratación directa","Cantidad definida","14/09/2022 14:00","20/09/2022 15:00","20/09/2022 15:05","6 Días hábiles",4700000,"","Contratación directa por escasa cuantía (art.2 inc. h) LCA y art. 144 RLCA)",109
"122","Adjudicación en firme","15/09/2022 15:31","2022CD-000130-0003900001","Nicoya","","20220902377-00","Servicios profesionales para soporte profesional al departamento de Control Constructivo y Obra Pública de la Municipalidad de Nicoya","Servicios","Contratación directa","Servicios","16/09/2022 16:30","20/09/2022 10:00","20/09/2022 10:01","10 Días hábiles",9e+06,"","Contratación directa por escasa cuantía (art.2 inc. h) LCA y art. 144 RLCA)",502
"123","Contrato","16/09/2022 07:38","2022CD-000143-0020800001","Escazu","","20220902109-00","Servicios de Asesoría para la evaluación de las cargas de trabajo asociadas a la gestión de los procesos de la Municipalidad de Escazú","Servicios","Contratación directa","Servicios","16/09/2022 08:00","10/10/2022 09:59","10/10/2022 10:00","10 Días hábiles",1.3e+07,"","Contratación directa de actividad contractual desarrollada entre sujetos de derecho público (Artículo 2 inc. c) LCA y artículo 138 RLCA.",102
"124","Sin definir","16/09/2022 11:47","2022LA-000008-0003400001","Montes de Oca","20220902513-01","20220902513-00","Proyecto de Cáncer de Mama, Municipalidad Montes de Oca [Sin efecto]","Servicios","Licitación abreviada","Cantidad definida","16/09/2022 12:00","03/10/2022 10:00","03/10/2022 10:00","20 Días hábiles",43125000,"",NA,115
"125","Contrato","20/09/2022 08:19","2022CD-000144-0020800001","Escazu","","20220902469-00","Servicio de confección de formularios y sellos para la Municipalidad de Escazú","Bienes/servicios","Contratación directa","Según demanda","20/09/2022 08:30","23/09/2022 07:30","23/09/2022 07:31","10 Días hábiles",1e+06,"","Contratación directa por escasa cuantía (art.2 inc. h) LCA y art. 144 RLCA)",102
"126","Contrato","20/09/2022 09:11","2022CD-000122-0003400001","Montes de Oca","20220902656-01","20220902656-00","Talleres de Marimba y Compra de Marimba Municipalidad de Montes de Oca","Bienes/servicios","Contratación directa","Cantidad definida","20/09/2022 09:15","27/09/2022 10:00","27/09/2022 10:00","10 Días hábiles",3750000,"","Contratación directa por escasa cuantía (art.2 inc. h) LCA y art. 144 RLCA)",115
"127","Contrato","20/09/2022 11:57","2022CD-000134-0003900001","Nicoya","","20220902733-00","Adquisición de moto guadaña profesional multifuncional, para uso del Depto. de Gestión Ambiental de la Municipalidad de Nicoya","Bienes","Contratación directa","Cantidad definida","20/09/2022 13:00","23/09/2022 14:00","23/09/2022 14:01","10 Días hábiles",750000,"","Contratación directa por escasa cuantía (art.2 inc. h) LCA y art. 144 RLCA)",502
"128","Contrato","21/09/2022 11:47","2022LA-000011-0011900001","Liberia","20220902981-01","20220902981-00","COMPRA DE AMBULANCIA CONVENIO CRUZ ROJA - MUNICIPALIDAD DE LIBERIA","Bienes","Licitación abreviada","Cantidad definida","21/09/2022 11:50","28/09/2022 16:00","29/09/2022 07:00","10 Días hábiles",41737430240,"",NA,501
"129","Contrato","21/09/2022 15:28","2022CD-000026-0025700001","Siquirres","","20220902796-00","Servicios integrales para las Actividades protocolarias y sociales realizadas por la municipalidad de Siquirres","Bienes/servicios","Contratación directa","Servicios","21/09/2022 16:00","23/09/2022 11:00","23/09/2022 11:00","4 Días hábiles",3850000,"","Contratación directa por escasa cuantía (art.2 inc. h) LCA y art. 144 RLCA)",703
"130","Contrato","21/09/2022 15:30","2022CD-000065-0021500001","Upala","","20220903077-00","Contratación de persona física o jur para la adquisición del servicio de alquiler de GPS y Control de Combustible para la flotilla vehicular de la Municipalidad de Upala.","Bienes/servicios","Contratación directa","Cantidad definida","22/09/2022 00:00","26/09/2022 10:00","26/09/2022 10:01","10 Días hábiles",3800002.03,"","Contratación directa por escasa cuantía (art.2 inc. h) LCA y art. 144 RLCA)",213
"131","Contrato","21/09/2022 15:35","2022CD-000216-0021700001","Heredia","20220903088-01","20220903088-00","SERVICIOS PROFESIONALES EVALUACION DE RIESGOS GEOTECNICOS RIO BERMUDEZ Y ESTUDIOS Y DISEÑO DE OBRA DE ESTABILIZACION EN SITIO LOS ARCOS PARA LA MUNICIPALIDAD DE HEREDIA","Servicios","Contratación directa","Servicios","23/09/2022 12:00","27/09/2022 10:00","27/09/2022 10:00","6 Días hábiles",1.7e+07,"","Contratación directa por escasa cuantía (art.2 inc. h) LCA y art. 144 RLCA)",401
"132","Contrato","21/09/2022 16:33","2022CD-000218-0021700001","Heredia","","20220903104-00","CONTRATACION DE SERVICIOS EN ACTIVIDAD CULTURAL ESPECTACULO DE CUENTOS Y LEYENDAS PARA LA MUNICIPALIDAD DE HEREDIA","Servicios","Contratación directa","Cantidad definida","22/09/2022 07:00","26/09/2022 11:00","26/09/2022 11:00","6 Días hábiles",1450000,"","Contratación directa por ser oferente único (Artículo 2 inc. d LCA y artículo 139 inciso a RLCA).",401
"133","Contrato","21/09/2022 16:51","2022CD-000219-0021700001","Heredia","","20220903108-00","CONTRATACION DE SERVICIOS DE ORGANIZACIÓN Y PRODUCCION DE EVENTO DE BARRIO EN BARRIO PARA LA MUNICIPALIDAD DE HEREDIA","Servicios","Contratación directa","Cantidad definida","22/09/2022 07:00","26/09/2022 11:00","26/09/2022 11:00","6 Días hábiles",5920000,"","Contratación directa por ser oferente único (Artículo 2 inc. d LCA y artículo 139 inciso a RLCA).",401
"134","Contrato","22/09/2022 11:20","2022CD-000055-0021911601","Turrubares","","20220902857-00","COMPRA DE LLANTAS PARA LOS VEHICULOS SM-5474 y SM-7763 DE LA UNIDAD DE GESTIÓN VIAL DE LA MUNICIPALIDAD DE TURRUBARES","Bienes","Contratación directa","Cantidad definida","22/09/2022 13:00","27/09/2022 14:00","27/09/2022 14:01","10 Días hábiles",960000,"","Contratación directa por escasa cuantía (art.2 inc. h) LCA y art. 144 RLCA)",116
"135","Adjudicación en firme","22/09/2022 11:34","2022CD-000220-0021700001","Heredia","","20220903260-00","SERVICIOS PROFESIONALES PARA SOPORTE DE APLICACION APP MOVIL DEL SISTEMA DE TIEMPO PARA ESTACIONAMIENTO AUTORIZADO DE LA MUNICIPALIDAD DE HEREDIA","Bienes","Contratación directa","Servicios","26/09/2022 12:00","27/09/2022 10:00","27/09/2022 10:00","6 Días hábiles",3e+06,"","Contratación directa por ser oferente único (Artículo 2 inc. d LCA y artículo 139 inciso a RLCA).",401
"136","Contrato","22/09/2022 11:49","2022CD-000221-0021700001","Heredia","20220903246-01","20220903246-00","COMPRA DE ARTICULOS DE RESGUARDO Y SEGURIDAD PARA LA MUNICIPALIDAD DE HEREDIA","Bienes","Contratación directa","Cantidad definida","27/09/2022 06:00","30/09/2022 10:00","30/09/2022 10:00","10 Días hábiles",5458500,"","Contratación directa por escasa cuantía (art.2 inc. h) LCA y art. 144 RLCA)",401
"137","Contrato","22/09/2022 13:08","2022CD-000222-0021700001","Heredia","","20220903276-00","COMPRA DE HERRAMIENTAS Y ARTICULOS FERRETEROS PARA ATENCION DE EMERGENCIAS DE LA MUNICIPALIDAD DE HEREDIA","Bienes","Contratación directa","Cantidad definida","27/09/2022 06:00","29/09/2022 09:00","29/09/2022 09:00","10 Días hábiles",4003190,"","Contratación directa por escasa cuantía (art.2 inc. h) LCA y art. 144 RLCA)",401
"138","Contrato","23/09/2022 07:36","2022CD-000266-0022030101","Cartago","","20220903249-00","21350 - Compra de tintas para los diferentes dispositivos de las dependencias de la Municipalidad de Cartago","Bienes","Contratación directa","Cantidad definida","23/09/2022 08:00","29/09/2022 08:00","29/09/2022 08:05","10 Días hábiles",5832100,"","Contratación directa por escasa cuantía (art.2 inc. h) LCA y art. 144 RLCA)",301
"139","Desierto/Infructuoso","23/09/2022 09:45","2022CD-000267-0022030101","Cartago","","20220902695-00","21356 - La Municipalidad de Cartago está promoviendo la adquisición de contratos de mantenimiento de las UPS, gabinetes donde se encuentran los equipo","Servicios","Contratación directa","Servicios","23/09/2022 09:45","28/09/2022 13:00","28/09/2022 13:00","10 Días hábiles",2100000,"","Contratación directa por escasa cuantía (art.2 inc. h) LCA y art. 144 RLCA)",301
"140","Contrato","23/09/2022 13:47","2022CD-000156-0000700001","Grecia","","20220903558-00","La Municipalidad de Grecia requiere contratar una persona física o jurídica que suministre, sonido, alimentación, saloneros y decoración para Grecia se viste de rosa","Servicios","Contratación directa","Cantidad definida","23/09/2022 14:00","27/09/2022 08:00","27/09/2022 08:00","4 Días hábiles",1023750,"","Contratación directa por escasa cuantía (art.2 inc. h) LCA y art. 144 RLCA)",203
"141","Contrato","26/09/2022 13:18","2022LA-000010-0003600001","San Carlos","20220903632-01","20220903632-00","COMPRA DE UNA SOLUCIÓN PARA LA GESTIÓN DOCUMENTAL DE LA MUNICIPALIDAD SAN CARLOS, ENTREGA SEGÚN DEMANDA","Servicios","Licitación abreviada","Según demanda","26/09/2022 14:00","10/10/2022 10:00","10/10/2022 10:00","20 Días hábiles",2.116e+11,"",NA,210
"142","Contrato","26/09/2022 13:40","2022CD-000242-0003600001","San Carlos","20220903637-01","20220903637-00","COMPRA DE EQUIPO DE COMPUTO PARA DIFERENTES DEPARTAMENTOS DE LA MUNICIPALIDAD DE SAN CARLOS","Bienes/servicios","Contratación directa","Cantidad definida","26/09/2022 14:00","03/10/2022 16:00","03/10/2022 16:00","10 Días hábiles",21960000,"","Contratación directa por escasa cuantía (art.2 inc. h) LCA y art. 144 RLCA)",210
"143","Contrato","27/09/2022 07:38","2022CD-000061-0002800001","Tibas","","20220903783-00","Contratación para la elaboración e implementación del Plan de Salud Ocupacional de la Municipalidad de Tibás.","Servicios","Contratación directa","Cantidad definida","27/09/2022 09:00","30/09/2022 10:00","30/09/2022 10:00","10 Días hábiles",2300000,"","Contratación directa por escasa cuantía (art.2 inc. h) LCA y art. 144 RLCA)",113
"144","Contrato","27/09/2022 14:11","2022LA-000023-0021700001","Heredia","20220903800-01 20220903800-02 20220903800-03","20220903800-00","CONSTRUCCION DE OBRA DE ESTABILIZACION EN TALUD URB SAN JORGE PARA LA MUNICIPALIDAD DE HEREDIA","Bienes","Licitación abreviada","Servicios","31/10/2022 07:00","02/11/2022 10:00","02/11/2022 10:00","20 Días hábiles",132600000,"",NA,401
"145","Contrato","27/09/2022 15:09","2022LA-000003-0023700001","Quepos","20220904085-01 20220904085-02 20220904085-03 20220904085-04 20220904085-05","20220904085-00","Compra de tractor de oruga para la Unidad de Gestión Vial de la Municipalidad de Quepos.","Bienes","Licitación abreviada","Cantidad definida","27/09/2022 15:30","14/10/2022 10:00","14/10/2022 10:05","20 Días hábiles",1.2e+08,"",NA,606
"146","Contrato","28/09/2022 11:08","2022CD-000153-0005500001","Atenas","","20220904230-00","Compra de aceite para unidades de la Municipalidad de Atenas.","Bienes","Contratación directa","Cantidad definida","28/09/2022 11:30","03/10/2022 11:30","03/10/2022 11:30","10 Días hábiles",1510000,"","Contratación directa por escasa cuantía (art.2 inc. h) LCA y art. 144 RLCA)",205
"147","Contrato","28/09/2022 11:43","2022CD-000057-0021911601","Turrubares","","20220903325-00","COMPRA DE PRODUCTOS QUIMICOS, MINERALES, ASFALTICOS Y MADERA PARA LA UNIDAD TECNICA DE GESTIÓN VIAL DE LA MUNICIPALIDAD DE TURRUBARES","Bienes","Contratación directa","Cantidad definida","28/09/2022 13:00","30/09/2022 13:30","30/09/2022 13:31","10 Días hábiles",2470000,"","Contratación directa por escasa cuantía (art.2 inc. h) LCA y art. 144 RLCA)",116
"148","Contrato","28/09/2022 11:49","2022CD-000058-0021911601","Turrubares","","20220903349-00","COMPRA DE UTILES Y MATERIALES DE RESGUARDO PARA LA UNIDAD TECNICA DE GESTIÓN VIAL, MUNICIPALIDAD DE TURRUBARES","Bienes","Contratación directa","Cantidad definida","28/09/2022 13:00","30/09/2022 14:00","30/09/2022 14:01","10 Días hábiles",80000,"","Contratación directa por escasa cuantía (art.2 inc. h) LCA y art. 144 RLCA)",116
"149","Contrato","28/09/2022 11:55","2022CD-000059-0021911601","Turrubares","","20220903373-00","COMPRA DE MATERIALES METALICOS PARA LA UNIDAD TECNICA DE GESTIÓN VIAL DE LA MUNICIPALIDAD DE TURRUBARES","Bienes","Contratación directa","Cantidad definida","28/09/2022 13:00","30/09/2022 14:30","30/09/2022 14:31","10 Días hábiles",1080000,"","Contratación directa por escasa cuantía (art.2 inc. h) LCA y art. 144 RLCA)",116
"150","Contrato","28/09/2022 13:28","2022CD-000060-0021911601","Turrubares","","20220903386-00","COMPRA DE MATERIALES Y PRODUCTOS ELECTRICOS PARA LA UNIDAD TECNICA DE GESTIÓN VIAL DE LA MUNICIPALIDAD DE TURRUBARES","Bienes","Contratación directa","Cantidad definida","28/09/2022 14:00","03/10/2022 13:00","03/10/2022 13:01","10 Días hábiles",210000,"","Contratación directa por escasa cuantía (art.2 inc. h) LCA y art. 144 RLCA)",116
"151","Contrato","28/09/2022 13:33","2022CD-000061-0021911601","Turrubares","","20220903475-00","COMPRA DE MATERIALES Y PRODUCTOS DE TINTAS, PINTURAS, DILUYENTES Y PLASTICOS DE LA UNIDAD TECNICA DE GESTION VIAL DE LA MUNICIPALIDAD DE TURRUBARES","Bienes","Contratación directa","Cantidad definida","28/09/2022 14:00","03/10/2022 14:00","03/10/2022 14:01","10 Días hábiles",750000,"","Contratación directa por escasa cuantía (art.2 inc. h) LCA y art. 144 RLCA)",116
"152","Contrato","28/09/2022 13:41","2022CD-000062-0021911601","Turrubares","","20220903500-00","COMPRA DE HERRAMIENTAS E INSTRUMENTOS PARA LA UNIDAD TECNICA DE GESTIÓN VIAL DE LA MUNICIPALIDAD DE TURRUBARES","Bienes","Contratación directa","Cantidad definida","28/09/2022 14:00","03/10/2022 15:00","03/10/2022 15:01","10 Días hábiles",670000,"","Contratación directa por escasa cuantía (art.2 inc. h) LCA y art. 144 RLCA)",116
"153","Adjudicación en firme","28/09/2022 13:55","2022CD-000064-0021911601","Turrubares","","20220903843-00","SERVICIO DE ALINEADO, ROTACION Y BALANCEO DE LLANTAS PARA LOS VEHICULOS DE LA UNIDAD DE GESTIÓN VIAL DE LA MUNICIPALIDAD DE TURRUBARES.","Bienes/servicios","Contratación directa","Cantidad definida","29/09/2022 10:00","04/10/2022 14:00","04/10/2022 14:01","10 Días hábiles",4e+05,"","Contratación directa por escasa cuantía (art.2 inc. h) LCA y art. 144 RLCA)",116
"154","Adjudicación en firme","28/09/2022 13:59","2022CD-000065-0021911601","Turrubares","","20220903971-00","“SERVICIOS DE CAMBIO Y REPARACIÓN DE LLANTAS SEGÚN DEMANDA DE EQUIPOS Y VEHCULOS DE LA UNIDAD TECNICA DE GESTIÓN VIAL, MUNICIPALIDAD DE TURRUBARES”","Servicios","Contratación directa","Cantidad definida","30/09/2022 10:00","05/10/2022 13:00","05/10/2022 13:01","10 Días hábiles",3e+05,"","Contratación directa por escasa cuantía (art.2 inc. h) LCA y art. 144 RLCA)",116
"155","Adjudicación en firme","28/09/2022 14:05","2022CD-000066-0021911601","Turrubares","20220903986-01","20220903986-00","COMPRA E INSTALACIÓN DE SEÑALIZACION VERTICAL PARA LOS DISTRITOS DE LA MUNICIPALIDAD DE TURRUBARES","Bienes/servicios","Contratación directa","Cantidad definida","05/10/2022 13:00","07/10/2022 15:00","07/10/2022 15:01","10 Días hábiles",4200000,"","Contratación directa por escasa cuantía (art.2 inc. h) LCA y art. 144 RLCA)",116
"156","Contrato","28/09/2022 16:27","2022LA-000020-0004611901","Perez Zeledon","20220904073-01 20220904073-02","20220904073-00","SERVICIO DE FUMIGACIÓN PARA LOS EDIFICIOS DE LA MUNICIPALIDAD DE PÉREZ ZELEDÓN (MODALIDAD: ENTREGA SEGÚN DEMANDA)","Servicios","Licitación abreviada","Según demanda","29/09/2022 07:00","25/10/2022 10:00","25/10/2022 10:00","20 Días hábiles",10528290,"",NA,119
"157","Contrato","29/09/2022 07:52","2022CD-000031-0020000306","Alvarado","","20220903570-00","Compra de llantas para los vehículos de la UTGVM Municipalidad de Alvarado","Bienes","Contratación directa","Cantidad definida","29/09/2022 08:00","05/10/2022 08:00","05/10/2022 08:01","10 Días hábiles",7415000,"","Contratación directa por escasa cuantía (art.2 inc. h) LCA y art. 144 RLCA)",306
"158","Contrato","29/09/2022 09:33","2022CD-000070-0023600001","Cañas","20220904420-01","20220904420-00","CONTRATACIÓN DE SERVICIOS PROFESIONALES PARA FINALIZACIÓN DEL PROCESO DE DESARROLLO DE LA APLICACIÓN APP MÓVIL Y SU MANTENIMIENTO RESPECTIVO, PARA LA MUNICIPALIDAD DE CAÑAS","Servicios","Contratación directa","Servicios","30/09/2022 08:00","06/10/2022 15:00","06/10/2022 15:01","10 Días hábiles",2590107.3,"4.070 [USD]","Contratación directa por ser oferente único (Artículo 2 inc. d LCA y artículo 139 inciso a RLCA).",506
"159","Adjudicación en firme","29/09/2022 12:29","2022CD-000147-0002300005","Sarapiqui","","20220904504-00","SOLICITUD DE CONTRATACIÓN DE SERVICIOS AUXILIARES PARA EL DEPARTAMENTO DE PLATAFORMA DE SERVICIOS DE LA MUNICIPALIDAD DE SARAPIQUÍ","Servicios","Contratación directa","Según demanda","29/09/2022 13:00","03/10/2022 12:00","03/10/2022 12:00","4 Días hábiles",2778.49,"","Contratación directa por escasa cuantía (art.2 inc. h) LCA y art. 144 RLCA)",410
"160","Contrato","29/09/2022 13:11","2022CD-000164-0000700001","Grecia","","20220904517-00","Servicio de capacitación para funcionarios de diferentes áreas de la Municipalidad de Grecia referente a la Ley Marco de Empleo Público","Servicios","Contratación directa","Cantidad definida","29/09/2022 13:15","03/10/2022 10:00","03/10/2022 10:00","4 Días hábiles",509112,"800 [USD]","Contratación directa para servicios de capacitación (Artículo 2 inc. d) LCA y artículo 139 inciso e) RLCA.",203
"161","Contrato","29/09/2022 13:39","2022LA-000025-0021700001","Heredia","","20220904530-00","CONTRATACIÓN DE OBRAS DE ESTABILIZACIÓN DEL TALUD EN SECTOR VILLAS DEL BOULEVARD PARA LA MUNICIPALIDAD DE HEREDIA","Bienes","Licitación abreviada","Servicios","11/10/2022 08:00","13/10/2022 09:00","13/10/2022 09:00","20 Días hábiles",159800000,"",NA,401
"162","Adjudicación en firme","29/09/2022 14:35","2022CD-000228-0021700001","Heredia","20220904558-01","20220904558-00","CONTRATACION DE SERVICIOS PROFESIONALES PARA DISEÑO DE AREA PUBLICA URB BERTA EUGENIA PARA LA MUNICIPALIDAD DE HEREDIA","Servicios","Contratación directa","Servicios","04/10/2022 12:00","05/10/2022 10:00","05/10/2022 10:00","8 Días hábiles",1e+07,"","Contratación directa por escasa cuantía (art.2 inc. h) LCA y art. 144 RLCA)",401
"163","Contrato","29/09/2022 15:05","2022CD-000229-0021700001","Heredia","","20220904575-00","SERVICIOS DE IMPRESION DE ROTULOS PARA LA MUNICIPALIDAD DE HEREDIA","Servicios","Contratación directa","Cantidad definida","30/09/2022 07:00","04/10/2022 14:00","04/10/2022 14:00","6 Días hábiles",2415000,"","Contratación directa por escasa cuantía (art.2 inc. h) LCA y art. 144 RLCA)",401
"164","Contrato","29/09/2022 15:30","2022CD-000190-0003100001","Puntarenas","20220904337-01","20220904337-00","COMPRA DE ZAPATOS PARA EL PERSONAL DE LOS DIFERENTES DEPARTAMENTOS DE LA MUNICIPALIDAD DE DE PUNTARENAS Y UTGV.","Bienes","Contratación directa","Cantidad definida","29/09/2022 16:00","05/10/2022 16:00","05/10/2022 16:15","10 Días hábiles",2679000,"4.209,68 [USD]","Contratación directa por escasa cuantía (art.2 inc. h) LCA y art. 144 RLCA)",601
"165","Contrato","29/09/2022 15:47","2022CD-000217-0021600001","Desamparados","","20220904600-00","Desarrollo de Módulo de Recolección de Residuos para Plataforma de Composteros de la Municipalidad de Desamparados","Bienes","Contratación directa","Servicios","30/09/2022 08:30","05/10/2022 00:00","05/10/2022 09:30","5 Días hábiles",13789718,"","Contratación directa por escasa cuantía (art.2 inc. h) LCA y art. 144 RLCA)",103
"166","Adjudicación en firme","30/09/2022 15:57","2022CD-000213-0024100001","Goicoechea","","20220904821-00","Contratación de servicio que desarrolle un modelo anual y periódico de rendición de cuentas de la Municipalidad de Goicoechea.","Servicios","Contratación directa","Servicios","04/10/2022 12:00","05/10/2022 12:00","05/10/2022 12:01","10 Días hábiles",2785000,"","Contratación directa por escasa cuantía (art.2 inc. h) LCA y art. 144 RLCA)",108
"167","Contrato","03/10/2022 10:32","2022CD-000141-0004200001","Buenos Aires","","20220904243-00","Compra de alimento para tilapias Convenio CAC - Municipalidad","Bienes","Contratación directa","Cantidad definida","03/10/2022 18:00","06/10/2022 08:00","06/10/2022 08:00","10 Días hábiles",489000,"","Contratación directa por escasa cuantía (art.2 inc. h) LCA y art. 144 RLCA)",603
"168","Contrato","03/10/2022 13:26","2022CD-000068-0021911601","Turrubares","","20220904453-00","COMPRA DE MOTOSIERRA Y PODADORA TELESCOPICA DE LA UNIDAD TECNICA DE GESTIÓN VIAL DE LA MUNICIPALIDAD DE TURRUBARES","Bienes","Contratación directa","Cantidad definida","03/10/2022 14:00","06/10/2022 13:00","06/10/2022 13:01","10 Días hábiles",1020000,"","Contratación directa por escasa cuantía (art.2 inc. h) LCA y art. 144 RLCA)",116
"169","Contrato","03/10/2022 15:32","2022CD-000126-0021000001","Santa Cruz","","20221000171-00","DEFINICIÓN DEL PERFIL TECNOLÓGICO Y GUÍA PARA LA APLICACIÓN DEL NUEVO MARCO DE GESTIÓN DE TI DE LA MUNICIPALIDAD DE SANTA CRUZ","Servicios","Contratación directa","Cantidad definida","03/10/2022 16:00","07/10/2022 10:00","07/10/2022 10:00","10 Días hábiles",4583383.2,"7.260 [USD]","Contratación directa por escasa cuantía (art.2 inc. h) LCA y art. 144 RLCA)",503
"170","Contrato","03/10/2022 17:32","2022CD-000256-0003600001","San Carlos","","20221000046-00","ALQUILER DE EDIFICIO PARA INSTALAR LA OFICINA DE SEGURIDAD CIUDADANA DE LA MUNICIPALIDAD DE SAN CARLOS","Servicios","Contratación directa","Cantidad definida","03/10/2022 18:00","10/10/2022 14:00","10/10/2022 14:00","10 Días hábiles",19200000,"","Contratación directa para arrendamiento o compra de bienes únicos (Artículo 2 inc. d) LCA y artículo 139 inciso j) RLCA.",210
"171","Adjudicación en firme","04/10/2022 12:46","2022CD-000149-0002300005","Sarapiqui","","20221000359-00","CONTRATACIÓN DE SERVICIOS AUXILIARES PARA DEPARTAMENTO DE BIENES INMUEBLES DE LA MUNICIPALIDAD DE SARAPIQUI","Servicios","Contratación directa","Según demanda","04/10/2022 13:00","06/10/2022 16:00","06/10/2022 16:00","4 Días hábiles",2778.49,"","Contratación directa por escasa cuantía (art.2 inc. h) LCA y art. 144 RLCA)",410
"172","Contrato","04/10/2022 13:47","2022LA-000014-0000700001","Grecia","20221000372-01","20221000372-00","“SERVICIO DE ALQUILER DE TARIMAS, TOLDOS, SILLAS, DECORACIÓN Y EQUIPO DIVERSO PARA ACTIVIDADES DE LA MUNICIPALIDAD DE GRECIA (MODALIDAD CONTRA DEMANDA)”","Bienes/servicios","Licitación abreviada","Según demanda","04/10/2022 14:00","14/10/2022 10:00","14/10/2022 10:00","14 Días hábiles",6e+06,"",NA,203
"173","Contrato","04/10/2022 16:10","2022CD-000024-0004400001","Golfito","","20221000426-00","Convenio de cooperación entre las Municipalidades de Golfito y Corredores para la disposición final de residuos sólidos del cantón de Golfito","Servicios","Contratación directa","Cantidad definida","04/10/2022 16:15","06/10/2022 12:00","06/10/2022 12:00","3 Días naturales",6194670,"","Contratación directa de actividad contractual desarrollada entre sujetos de derecho público (Artículo 2 inc. c) LCA y artículo 138 RLCA.",607
"174","Desierto/Infructuoso","05/10/2022 07:57","2022CD-000282-0022030101","Cartago","","20220904708-00","21391 - Contratar el servicio de mantenimiento y reparación de maquinaria y equipo menor en el Departamento de Acueductos de la Municipalidad de Carta","Servicios","Contratación directa","Según demanda","05/10/2022 08:00","11/10/2022 08:00","11/10/2022 08:05","10 Días hábiles",2e+06,"","Contratación directa por escasa cuantía (art.2 inc. h) LCA y art. 144 RLCA)",301
"175","Contrato","05/10/2022 09:11","2022CD-000159-0005500001","Atenas","20221000523-01 20221000523-02","20221000523-00","Contratación para un proyecto de adopción de las NICSO para la Municipalidad de Atenas","Servicios","Contratación directa","Servicios","05/10/2022 09:30","18/10/2022 11:00","18/10/2022 11:00","10 Días hábiles",1e+07,"","Contratación directa por escasa cuantía (art.2 inc. h) LCA y art. 144 RLCA)",205
"176","Contrato","05/10/2022 15:25","2022LA-000004-0019400001","Osa","","20221000626-00","SERVICIO DE MANTENIMIENTO PREVENTIVO O CORRECTIVO Y ADQUISICIÓN DE REPUESTOS GENUINOS, PARA LAS UNIDADES VEHICULARES DE LA MUNICIPALIDAD DE OSA, SEGUN DEMANDA","Bienes/servicios","Licitación abreviada","Según demanda","06/10/2022 09:00","02/11/2022 09:00","02/11/2022 09:05","40 Días hábiles",3,"",NA,605
"177","Contrato","05/10/2022 16:11","2022LA-000005-0019400001","Osa","20221000579-01","20221000579-00","ADQUISICION DE UN CAMION TIPO CABEZAL PARA LA UTGV DE LA MUNICIPALIDAD DE OSA","Bienes","Licitación abreviada","Cantidad definida","06/10/2022 08:00","26/10/2022 08:00","26/10/2022 08:05","30 Días hábiles",8.7e+07,"",NA,605
